Year,Department,Asset_Name,Asset_Type,Capacity_MW,Latitude,Longitude,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Location_Type,Notes,Sources
2025,Offshore wind,Moray West,Offshore wind farm,882,58.094,-2.988,,,,,point,Coordinates from Wikipedia (Moray West Wind Farm).,https://en.wikipedia.org/wiki/Moray_West_Wind_Farm
2025,Offshore wind,Neart na Gaoithe (NnG),Offshore wind farm,448,56.27,-2.25,,,,,point,Coordinates from Global Energy Monitor (GEM).,https://www.gem.wiki/Neart_Na_Gaoithe_wind_farm
2025,Offshore wind,Dogger Bank B (Creyke Beck B),Offshore wind farm,1200,54.979972,1.679972,,,,,point,Coordinates from TheWindPower.net page for Dogger Bank B.,https://www.thewindpower.net/windfarm_en_16773_dogger-bank-b.php
2026,Offshore wind,Dogger Bank C (Teesside A),Offshore wind farm,1200,55.039972,2.819972,,,,,point,Coordinates from TheWindPower.net page for Dogger Bank C.,https://www.thewindpower.net/windfarm_en_16689_dogger-bank-c.php
2026,Offshore wind,Sofia (Dogger Bank Teesside B),Offshore wind farm,1400,55.21,2.33,,,,,point,Coordinates from Global Energy Monitor (Sofia wind farm).,https://www.gem.wiki/Sofia_wind_farm
2027,Offshore wind,Inch Cape,Offshore wind farm,1080,56.49,-2.194972,,,,,point,Coordinates from TheWindPower.net page for Inch Cape.,https://www.thewindpower.net/windfarm_en_12052_inch-cape.php
2027,Offshore wind,Hornsea 3,Offshore wind farm,2852,53.92,1.33,,,,,point,Coordinates from TheWindPower.net page for Hornsea Project Three.,https://www.thewindpower.net/windfarm_en_16685_hornsea-project-three.php
2028,Offshore wind,East Anglia THREE,Offshore wind farm,1400,52.7,2.859972,,,,,point,Coordinates from TheWindPower.net page for East Anglia Three.,https://www.thewindpower.net/windfarm_en_16700_east-anglia-three.php
2030,Offshore wind,Rampion 2,Offshore wind farm,1200,,,,,,,point,Coordinates left blank; scheme defined by DCO polygon (see legislation.gov.uk Order Schedules).,https://www.legislation.gov.uk/uksi/2025/468/schedules/made
2025,Interconnector,Greenlink (GB–IE),HVDC interconnector,500,,,51.69081,-4.915,52.23668,-6.93738,line,Start=Pembroke (Golden Hill) substation [Mapcarta]; End=Great Island substation [Mapcarta].,https://mapcarta.com/W119241700; https://mapcarta.com/W484711830
2028,Interconnector,NeuConnect (GB–DE),HVDC interconnector,1400,,,51.4451,0.71281,,,line,GB converter/substation on Isle of Grain (Mapcarta 'Grain Synchronous Condenser' near NG substation).,https://mapcarta.com/W1237240945; https://en.wikipedia.org/wiki/NeuConnect
2030,Interconnector,LionLink (GB–NL MPI),HVDC interconnector (hybrid),1800,,,52.219,1.62,,,line,GB connection in Sizewell/Leiston area (use Sizewell substation area coords).,https://en.wikipedia.org/wiki/Sizewell_C_nuclear_power_station
2029,Transmission,Eastern Green Link 1 (EGL1),HVDC link (onshore substations),2000,,,55.94911,-2.41707,54.80498,-1.40457,line,Start=Torness substation (Trove); End=Hawthorn Pit substation (Mapcarta).,https://www.trove.scot/place/365103; https://mapcarta.com/W200511209
2030,Transmission,Eastern Green Link 2 (EGL2),HVDC link (onshore substations),2000,,,57.47639,-1.80051,53.73248,-0.99251,line,Start=Peterhead substation (Wikipedia); End=Drax 400kV substation (National Grid pre-application tool).,https://en.wikipedia.org/wiki/Peterhead_power_station; https://customer.nationalgridet.com/s/pre-application
2030,Transmission,Sea Link (Suffolk–Kent),HVDC link (onshore substations),1400,,,52.219,1.62,51.31131,1.34398,line,Start=Sizewell substation area; End=Richborough 400kV substation (Mapcarta).,https://en.wikipedia.org/wiki/Sizewell_C_nuclear_power_station; https://mapcarta.com/W771093002
2025,Battery storage,UK battery storage additions (aggregate),Electrochemical storage (aggregate),2000,,,,,,,aggregate,Indicative policy trajectory placeholder; unit-level sites not resolved here.,(see previous policy sources)
2026,Battery storage,UK battery storage additions (aggregate),Electrochemical storage (aggregate),2500,,,,,,,aggregate,Indicative policy trajectory placeholder; unit-level sites not resolved here.,(see previous policy sources)
2027,Battery storage,UK battery storage additions (aggregate),Electrochemical storage (aggregate),3000,,,,,,,aggregate,Indicative policy trajectory placeholder; unit-level sites not resolved here.,(see previous policy sources)
2028,Battery storage,UK battery storage additions (aggregate),Electrochemical storage (aggregate),3500,,,,,,,aggregate,Indicative policy trajectory placeholder; unit-level sites not resolved here.,(see previous policy sources)
2029,Battery storage,UK battery storage additions (aggregate),Electrochemical storage (aggregate),4000,,,,,,,aggregate,Indicative policy trajectory placeholder; unit-level sites not resolved here.,(see previous policy sources)
2030,Battery storage,UK battery storage additions (aggregate),Electrochemical storage (aggregate),4500,,,,,,,aggregate,Indicative policy trajectory placeholder; unit-level sites not resolved here.,(see previous policy sources)
