Project Name,ProjectLocation,Region,Applicant,Technology Type,Size (MW),Strike Price (£/MWh),Delivery Year,Pot
Strathy South WindFarm,NC808513,Scotland,SSE GENERATION LIMITED,Onshore Wind (>5MW),231.00,52.29,2027/28,Pot 1
Clash Gour Wind Farm,NJ080449,Scotland,CLASH GOUR WINDFARM HOLDINGS LIMITED,Onshore Wind (>5MW),168.75,52.29,2027/28,Pot 1
Limekiln Wind Farm,NC974628,Scotland,LIMEKILN EXTENSION LIMITED,Onshore Wind (>5MW),106.00,52.29,2027/28,Pot 1
Bhlaraidh Extension Wind Farm,NH384208,Scotland,SSE GENERATION LIMITED,Onshore Wind (>5MW),100.80,52.29,2027/28,Pot 1
Enoch Hill Windfarm,NS573079,Scotland,RWE RENEWABLES UK ONSHORE WIND LIMITED,Onshore Wind (>5MW),69.00,52.29,2027/28,Pot 1
Blarghour Wind Farm,NN034139,Scotland,BLARGHOUR WIND FARM LIMITED,Onshore Wind (>5MW),67.20,52.29,2027/28,Pot 1
Greenburn Wind Park,NS557145,Scotland,REG GREENBURN LIMITED,Onshore Wind (>5MW),63.00,52.29,2027/28,Pot 1
Strathy Wood Windfarm,NC833566,Scotland,RWE RENEWABLES UK ONSHORE WIND LIMITED,Onshore Wind (>5MW),62.70,52.29,2027/28,Pot 1
Fell Wind Farm,NX738838,Scotland,ENERGYFARM UK FELL LLP,Onshore Wind (>5MW),50.00,52.29,2027/28,Pot 1
ENERGYFARM UK MARGREE LLP,NX685862,Scotland,ENERGYFARM UK MARGREE LLP,Onshore Wind (>5MW),50.00,52.29,2026/27,Pot 1
LAIRG II LLP,NC606029,Scotland,LAIRG II LLP,Onshore Wind (>5MW),50.00,52.29,2026/27,Pot 1
Aberarder Wind Farm,NH648207,Scotland,Aberarder Wind Farm LLP,Onshore Wind (>5MW),49.99,52.29,2027/28,Pot 1
Slickly Wind Farm,ND319662,Scotland,SLICKLY WIND FARM LIMITED,Onshore Wind (>5MW),49.90,52.29,2027/28,Pot 1
ENERGYFARM UK GARBET LLP,NJ376349,Scotland,ENERGYFARM UK GARBET LLP,Onshore Wind (>5MW),46.20,52.29,2026/27,Pot 1
Energyfarm UK Hare Craig LLP,NS736312,Scotland,ENERGYFARM UK HARE CRAIG LLP,Onshore Wind (>5MW),46.20,52.29,2027/28,Pot 1
BB2 Wind Farm,NJ080452,Scotland,BB2 WIND FARM LIMITED,Onshore Wind (>5MW),43.20,52.29,2026/27,Pot 1
Ben Sca Wind Farm,NG333482,Scotland,BEN SCA WIND FARM LIMITED,Onshore Wind (>5MW),40.80,52.29,2027/28,Pot 1
Heathland Wind Farm,NS967573,Scotland,HEATHLAND WINDFARM PARTNERSHIP LLP,Onshore Wind (>5MW),40.00,52.29,2027/28,Pot 1
Camster II Wind Farm Limited,ND287482,Scotland,CAMSTER II WIND FARM LIMITED,Onshore Wind (>5MW),36.00,52.29,2027/28,Pot 1
Foel Trawsnant Wind Farm,SS838940,Wales,PENNANT WALTERS (FOELT) LIMITED,Onshore Wind (>5MW),34.80,52.29,2027/28,Pot 1
Benbrack Wind Farm,NS537003,Scotland,BENBRACK WIND FARM LIMITED,Onshore Wind (>5MW),31.10,52.29,2025/26,Pot 1
Pearie Law II Wind Farm Ltd,NT009588,Scotland,PEARIE LAW II WIND FARM LTD,Onshore Wind (>5MW),20.70,52.29,2027/28,Pot 1
Lurg Hill Wind Farm,NJ509585,Scotland,VENTO LUDENS LIMITED,Onshore Wind (>5MW),15.00,52.29,2026/27,Pot 1
Watson Head Wind Farm Limited,NS851543,Scotland,WATSON HEAD WIND FARM LIMITED,Onshore Wind (>5MW),8.40,52.29,2027/28,Pot 1
Viking Wind Farm AR5,HU412576,Scotland,Viking Energy Wind Farm LLP,Remote Island Wind (RIW),223.60,52.29,2027/28,Pot 1
