Project Name,Project Location,Region,Applicant,Technology Type,Size (MW),Strike Price (£/MWh),Delivery Year,Pot
Awel y Môr Offshore Wind Farm A,SJ015735,Wales,AWEL Y MÔR OFFSHORE WIND LIMITED,Offshore Wind,775.0,91.2,2030/31,Pot 3
Berwick Bank Phase B,NT730745,Scotland,BERWICK BANK B WIND LIMITED,Offshore Wind,1380.0,89.49,2030/31,Pot 3
Dogger Bank South East CfD Unit A,TA044349,England,RWE RENEWABLES UK DOGGER BANK SOUTH LIMITED,Offshore Wind,1500.0,91.2,2030/31,Pot 3
Dogger Bank South West CfD Unit A,TA044349,England,RWE RENEWABLES UK DOGGER BANK SOUTH LIMITED,Offshore Wind,1500.0,91.2,2030/31,Pot 3
Norfolk Vanguard East CFD Unit A,TF889106,England,NORFOLK VANGUARD LIMITED,Offshore Wind,1380.0,91.2,2029/30,Pot 3
Norfolk Vanguard East CFD Unit B,TF889106,England,NORFOLK VANGUARD LIMITED,Offshore Wind,90.0,91.2,2028/29,Pot 3
Norfolk Vanguard East CFD Unit C,TF889106,England,NORFOLK VANGUARD LIMITED,Offshore Wind,75.0,91.2,2028/29,Pot 3
Norfolk Vanguard West CFD Unit A,TF889106,England,NORFOLK VANGUARD LIMITED,Offshore Wind,1380.0,91.2,2028/29,Pot 3
Norfolk Vanguard West CFD Unit B,TF889106,England,NORFOLK VANGUARD LIMITED,Offshore Wind,90.0,91.2,2028/29,Pot 3
Norfolk Vanguard West CFD Unit C,TF889106,England,NORFOLK VANGUARD LIMITED,Offshore Wind,75.0,91.2,2028/29,Pot 3
Erebus,SM935014,Wales,BLUE GEM WIND LIMITED,Floating Offshore Wind,100.0,216.49,2029/30,Pot 4
Pentland Floating Offshore Wind Farm,ND347747,Scotland,PENTLAND FLOATING OFFSHORE WIND LIMITED,Floating Offshore Wind,92.5,216.49,2029/30,Pot 4
Bettyhill Wind Farm Phase 2,NC740594,Scotland,BETTYHILL 2 WIND LTD,Onshore Wind (>5MW),48.0,72.24,2027/28,Pot 1
Cairn Duhie Wind Farm,NH978428,Scotland,CAIRN DUHIE ENERGY,Onshore Wind (>5MW),67.2,72.24,2028/29,Pot 1
Clachaig Glen,NR720418,Scotland,RWE RENEWABLES UK,Onshore Wind (>5MW),52.8,72.24,2028/29,Pot 1
DEWSHILL WIND FARM,NS848648,Scotland,,Onshore Wind (>5MW),11.4,72.24,2028/29,Pot 1
Drumduff Extension Wind,NS891688,Scotland,DRUMDUFF EXTENSION,Onshore Wind (>5MW),13.05,72.24,2027/28,Pot 1
ENERGYFARM,SD745245,England,,Onshore Wind (>5MW),8.2,72.24,2027/28,Pot 1
Energyfarm UK Pencarreg,SN570408,Wales,,Onshore Wind (>5MW),5.01,72.24,2027/28,Pot 1
Enoch Hill 2,NS583064,Scotland,RWE RENEWABLES UK,Onshore Wind (>5MW),9.6,72.24,2028/29,Pot 1
Glen Ullinish,NG339417,Scotland,GLEN ULLINISH WF,Onshore Wind (>5MW),49.9,72.24,2028/29,Pot 1
Glendye Wind Farm,NO598805,Scotland,GLENDYE WIND FARM,Onshore Wind (>5MW),124.8,72.24,2028/29,Pot 1
Golticlay Wind Farm 2,ND208410,Scotland,RWE RENEWABLES UK,Onshore Wind (>5MW),13.2,72.24,2028/29,Pot 1
High Constellation Wind,NR805503,Scotland,HIGH CONSTELLATION,Onshore Wind (>5MW),50.0,72.24,2028/29,Pot 1
HOPSRIG WIND FARM,NY280884,Scotland,,Onshore Wind (>5MW),48.0,72.24,2028/29,Pot 1
Imerys Wind Farm,SW991553,England,CE LONGSTONES,Onshore Wind (>5MW),19.96,72.24,2027/28,Pot 1
Lethans Extension Wind,NS716184,Scotland,LETHANS EAST WIND,Onshore Wind (>5MW),70.0,72.24,2028/29,Pot 1
Loganhead Wind Farm,NY308863,Scotland,LOGANHEAD WF LIMITED,Onshore Wind (>5MW),36.0,72.24,2028/29,Pot 1
Moorshield Wind Farm,NS519493,Scotland,MOORSHIELD WIND FARM,Onshore Wind (>5MW),18.0,72.24,2028/29,Pot 1
Mynydd Carn-Y-Cefn Wind,SO201035,Wales,PENNANT WALTERS,Onshore Wind (>5MW),34.0,72.24,2028/29,Pot 1
