,0
BRGDG-1,135.8176861117476
ABERU-1,137.45917701008614
BRGG-1,126.47130806968438
BRIDU-1,128.8959124419824
CORB-1,151.99112116453327
COWE1,133.13093868233233
COWE2,142.0322989058499
CROYD-2,130.63135185734134
DBFRM-1,128.50918186492444
DERW-1,136.69606005013816
DIDC01G,144.57766447623285
DIDC02G,122.82798522067337
DIDC03G,133.5114241553052
DIDC04G,142.69877905050362
FAWN-1,149.59909149425488
FDUNT-1,119.27197633101541
FELL-1,119.68970376939683
GYAR-1,109.25540015959315
KLYN-A-1,112.54500099208916
LNMTH-1,132.93772907380338
LNMTH-2,131.56787896582642
LNMTH-3,122.61273621722768
MDLWH-1,119.1765967783304
PETEM1,140.4982932871271
PETDG-1,139.85319976019335
SEVIU-1,143.10804027717685
SHOS-1,109.85178102623458
SOLUU-1,140.49102486546235
TAYL2G,122.53269317620422
TAYL3G,131.0829472423157
THRNL-1,147.33963090447182
VKING-2,130.96949074623024
CARR-1,109.18949298368324
CARR-2,108.72293799250124
CDCL-1,100.83204198053222
CNQPS-1,137.76190410754373
CNQPS-2,121.37431582653682
CNQPS-3,144.88272156769398
CNQPS-4,144.96951221262435
COSO-1,114.48660021773591
DAMC-1,123.00982025571791
DIDCB5,104.65598901373455
DIDCB6,121.8603046856624
EECL-1,81.79971442027784
GRAI-6,93.78953354035663
GRAI-7,147.0525287205781
GRAI-8,100.07323591762001
GRAI1G,142.00602051625242
GRAI4G,134.65574130151117
GRMO-1,146.20465604361692
HUMR-1,114.86518446013423
INDQ-1,134.04693191267054
KEAD-1,133.21691005051414
KEAD-2,90.05531912522572
KEADGT-3,139.0839462818591
KILLPG-1,150.3141914478358
KILLPG-2,93.53600516397307
LAGA-1,88.18543224033225
LBAR-1,118.52218935823659
LBAR-1G,129.98645554772457
MEDP-1,136.91164720030764
MRWD-1,104.40833740034475
PEHE-1,110.00893866560477
PEHE-2,120.9941950491334
PEHED-1,121.29686731348212
PEMB-11,103.35542086688321
PEMB-21,99.02799579951859
PEMB-31,101.17692573193392
PEMB-41,101.46872843794193
PEMB-51,109.27385516741622
RATS-1,125.21673872523822
RATS-2,121.17755070341947
RATS-3,118.72830266001914
RATS-4,125.9712327421236
RATSGT-2,148.96586987756763
RATSGT-4,138.47629117113684
ROCK-1,148.76319703583385
RYHPS-1,132.06270499630205
SCCL-1,121.60798094215636
SCCL-2,115.70782432126698
SCCL-3,129.99636169571443
SEAB-1,118.97894650890474
SEAB-2,117.02561993112123
SEEL-1,130.9401951529747
SHBA-1,115.34630880461343
SHBA-2,110.63517247506034
SPLN-1,116.42352117488116
STAY-1,110.24061417967113
STAY-2,112.39528578574904
STAY-3,107.04137445605846
STAY-4,112.08352957402006
SUTB-1,143.19884978223686
SVRP-10,136.21563825288388
SVRP-20,137.71610312054918
TSREP-1,124.39977783162753
WBURB-1,103.7826867488917
WBURB-2,98.73280219797421
WBURB-3,101.44192660110883
WILCT-1,110.52757160292927
DRAXD-2,124.38678057038322
MARK-1,110.69701197335758
TIBG-1,87.82820436157748
DRAXX-1,108.8476722761575
DRAXX-2,73.02556227598566
DRAXX-3,65.11135364424798
DRAXX-4,89.44182292464878
DRAXX-5,120.85524771631057
DRAXX-6,91.76866036652964
