,2021-12-09,2022-01-21,2022-04-11,2022-07-05,2022-09-27,2022-12-05,2023-03-29,2023-06-30,2023-09-29,2024-01-02,2024-01-24,2024-04-03,2024-07-03,2024-09-10,2024-09-18,2025-01-31,2025-04-23,2025-07-29,2025-10-31,2025-12-23
BDCHW-1,98.23,98.23,104.99,104.99,104.99,104.99,118.46,118.46,108.91,108.91,108.91,113.59,113.59,113.59,113.59,113.59,116.95,116.95,116.95,116.95
KPMRW-1,98.23,98.23,104.99,104.99,104.99,104.99,108.82,108.82,108.82,108.82,108.82,113.47,113.47,113.47,113.47,113.47,116.79,116.79,116.79,116.79
MIDMW-1,98.23,98.23,104.99,104.99,104.99,104.99,108.82,108.82,108.82,108.82,108.82,113.47,113.47,113.47,113.47,113.47,116.79,116.79,116.79,116.79
CNCLW-1,95.16,95.16,100.31,100.31,100.31,100.31,110.35,110.35,110.35,110.35,110.35,114.8,114.8,114.8,114.8,114.8,118.21,118.21,118.21,118.21
DOREW-1,98.23,98.23,104.99,104.99,104.99,104.99,108.82,108.82,108.82,108.82,108.82,113.47,113.47,113.47,113.47,113.47,116.79,116.79,116.79,116.79
DOREW-2,98.23,98.23,104.99,104.99,104.99,104.99,108.82,108.82,108.82,108.82,108.82,113.47,113.47,113.47,113.47,113.47,116.79,116.79,116.79,116.79
TRLGW-1,98.23,98.23,104.99,104.99,104.99,104.99,108.82,108.82,108.82,108.82,108.82,113.47,113.47,113.47,113.47,113.47,116.79,116.79,116.79,116.79
SWBKW-1,95.16,95.16,100.31,100.31,100.31,100.31,110.35,110.35,110.35,110.35,110.35,114.8,114.8,114.8,114.8,114.8,118.21,118.21,118.21,118.21
HOWBO-1,68.55,68.55,73.71,73.71,73.71,73.71,83.94,83.94,83.94,83.94,83.94,79.43,79.43,79.43,77.78,77.78,80.08,80.08,80.08,80.08
HOWBO-3,68.55,68.55,73.71,73.71,73.71,73.71,83.94,83.94,83.94,83.94,83.94,79.43,79.43,79.43,77.78,77.78,80.08,80.08,80.08,80.08
HOWBO-2,68.55,68.55,73.71,73.71,73.71,73.71,83.94,83.94,83.94,83.94,83.94,79.43,79.43,79.43,77.78,77.78,80.08,80.08,80.08,80.08
MOWEO-1,68.55,68.55,73.71,73.71,73.71,73.71,74.49,74.49,74.49,74.49,74.49,77.67,77.67,77.67,77.67,77.67,79.95,79.95,79.95,79.95
MOWEO-2,68.55,68.55,73.71,73.71,73.71,73.71,74.49,74.49,74.49,74.49,74.49,77.67,77.67,77.67,77.67,77.67,79.95,79.95,79.95,79.95
MOWEO-3,68.55,68.55,73.71,73.71,73.71,73.71,74.49,74.49,74.49,74.49,74.49,77.67,77.67,77.67,77.67,77.67,79.95,79.95,79.95,79.95
TKNEW-1,88.59,88.59,94.81,94.81,94.81,94.81,107.19,107.19,97.82,97.82,97.82,102.03,102.03,102.03,102.03,102.03,105.04,105.04,105.04,105.04
TKNWW-1,88.59,88.59,94.81,94.81,94.81,94.81,107.19,107.19,97.82,97.82,97.82,102.03,102.03,102.03,102.03,102.03,105.04,105.04,105.04,105.04
EAAO-1,141.63,141.63,150.68,150.68,150.68,150.68,168.79,168.79,159.24,159.24,159.24,166.08,166.08,166.08,166.08,166.08,170.98,170.98,170.98,170.98
EAAO-2,141.63,141.63,150.68,150.68,150.68,150.68,168.79,168.79,159.24,159.24,159.24,166.08,166.08,166.08,166.08,166.08,170.98,170.98,170.98,170.98
BEATO-1,164.73,164.73,175.47,175.47,175.47,175.47,186.32,186.32,186.32,186.32,186.32,193.95,193.95,193.95,193.95,193.95,199.43,199.43,199.43,199.43
BEATO-2,164.73,164.73,175.47,175.47,175.47,175.47,186.32,186.32,186.32,186.32,186.32,193.95,193.95,193.95,193.95,193.95,199.43,199.43,199.43,199.43
BEATO-3,164.73,164.73,175.47,175.47,175.47,175.47,186.32,186.32,186.32,186.32,186.32,193.95,193.95,193.95,193.95,193.95,199.43,199.43,199.43,199.43
BEATO-4,164.73,164.73,175.47,175.47,175.47,175.47,186.32,186.32,186.32,186.32,186.32,193.95,193.95,193.95,193.95,193.95,199.43,199.43,199.43,199.43
BRBEO-1,176.57,176.57,187.47,187.47,187.47,187.47,209.32,209.32,209.32,209.32,209.32,210.22,210.22,210.22,208.35,208.35,214.5,214.5,214.5,214.5
DRAXX-1,118.54,118.54,126.37,126.37,126.37,126.37,142.02,132.47,132.47,132.47,132.47,138.16,138.16,138.16,138.16,138.16,142.24,142.24,142.24,142.24
DDGNO-2,176.57,176.57,187.47,187.47,187.47,187.47,209.32,199.77,199.77,199.77,199.77,208.35,208.35,208.35,208.35,208.35,214.5,214.5,214.5,214.5
DDGNO-1,176.57,176.57,187.47,187.47,187.47,187.47,209.32,199.77,199.77,199.77,199.77,208.35,208.35,208.35,208.35,208.35,214.5,214.5,214.5,214.5
DDGNO-3,176.57,176.57,187.47,187.47,187.47,187.47,209.32,199.77,199.77,199.77,199.77,208.35,208.35,208.35,208.35,208.35,214.5,214.5,214.5,214.5
DDGNO-4,176.57,176.57,187.47,187.47,187.47,187.47,209.32,199.77,199.77,199.77,199.77,208.35,208.35,208.35,208.35,208.35,214.5,214.5,214.5,214.5
HOWAO-2,164.96,164.96,175.25,175.25,175.25,175.25,195.86,195.86,195.86,195.86,195.86,196.18,196.18,196.18,194.31,194.31,200.05,200.05,200.05,200.05
HOWAO-3,164.96,164.96,175.25,175.25,175.25,175.25,195.86,195.86,195.86,195.86,195.86,196.18,196.18,196.18,194.31,194.31,200.05,200.05,200.05,200.05
HOWAO-1,164.96,164.96,175.25,175.25,175.25,175.25,195.86,195.86,195.86,195.86,195.86,196.18,196.18,196.18,194.31,194.31,200.05,200.05,200.05,200.05
TSREP-1,147.56,147.56,156.92,156.92,156.92,156.92,165.97,165.97,165.97,165.97,165.97,173.06,173.06,173.06,173.06,173.06,178.13,178.13,178.13,178.13
WLNYO-3,176.57,176.57,187.47,187.47,187.47,187.47,209.32,209.32,209.32,209.32,209.32,210.22,210.22,210.22,208.35,208.35,214.5,214.5,214.5,214.5
WLNYO-4,176.57,176.57,187.47,187.47,187.47,187.47,209.32,209.32,209.32,209.32,209.32,210.22,210.22,210.22,208.35,208.35,214.5,214.5,214.5,214.5
NNGAO-1,135.24,135.24,143.96,143.96,143.96,143.96,151.7,151.7,151.7,151.7,151.7,158.19,158.19,158.19,158.19,158.19,162.82,162.82,162.82,162.82
NNGAO-2,135.24,135.24,143.96,143.96,143.96,143.96,151.7,151.7,151.7,151.7,151.7,158.19,158.19,158.19,158.19,158.19,162.82,162.82,162.82,162.82
MOWWO-1,,,,,37.35,37.35,45.37,45.37,45.37,45.37,45.37,47.3,47.3,47.3,47.3,47.3,48.69,48.69,48.69,48.69
MOWWO-2,,,,,37.35,37.35,45.37,45.37,45.37,45.37,45.37,47.3,47.3,47.3,47.3,47.3,48.69,48.69,48.69,48.69
MOWWO-3,,,,,37.35,37.35,45.37,45.37,45.37,45.37,45.37,47.3,47.3,47.3,47.3,47.3,48.69,48.69,48.69,48.69
MOWWO-4,,,,,37.35,37.35,45.37,45.37,45.37,45.37,45.37,47.3,47.3,47.3,47.3,47.3,48.69,48.69,48.69,48.69
LIMKW-1,,,,,,,,,,52.29,52.29,73.33,73.33,73.33,73.33,73.33,75.47,75.47,75.47,75.47
NOKYW-1,,,,,42.47,42.47,52.25,52.25,52.25,52.25,52.25,54.48,54.48,54.48,54.48,54.48,56.08,56.08,56.08,56.08
NOKYW-2,,,,,42.47,42.47,52.25,52.25,52.25,52.25,52.25,54.48,54.48,54.48,54.48,54.48,56.08,56.08,56.08,56.08
CLVHS-1,,,,,45.99,45.99,56.99,56.99,56.99,56.99,56.99,59.42,59.42,59.42,59.42,59.42,61.16,61.16,61.16,61.16
CLVHS-2,,,,,45.99,45.99,56.99,56.99,56.99,56.99,56.99,59.42,59.42,59.42,59.42,59.42,61.16,61.16,61.16,61.16
